system,pid,recall,mean_trans,std_trans,mean_drift,max_drift
random,2,0.0125,0.19521348223917137,0.24139733681056252,0.5629207367681661,0.8058664702118928
random,13,0.09090909090909091,0.14434253303437217,0.24734745157140225,0.5216327888537349,0.7852715066899065
random,16,0.046511627906976744,0.12638577254272823,0.2897928889439459,0.513262649676723,0.8446821095114473
random,21,0.011904761904761904,0.15047302293639273,0.18755867796257453,0.5743191459373308,0.7454593304416551
random,28,0.00980392156862745,0.17618787085122672,0.2652284405810134,0.5166864796111668,0.8645846948052879
p1_greedy,2,0.0125,0.8121486184824046,0.1310003765371747,0.565722372443714,0.8041756917819657
p1_greedy,13,0.2727272727272727,0.8194814493335012,0.1637023790204567,0.24214311774233682,0.43163114895790433
p1_greedy,16,0.023255813953488372,0.8127518143982508,0.1394566717051206,0.3417152590195777,0.6241834862784372
p1_greedy,21,0.08333333333333333,0.8522124374524167,0.18440603321673787,0.26236984788195694,0.4281602267655406
p1_greedy,28,0.14705882352941177,0.8243199745230535,0.2600153530356409,0.07844648483975958,0.1856024493476229
stack_greedy,2,0.0375,0.9655836267843424,0.011170320028852921,0.3727153503628696,0.5332577780169122
stack_greedy,13,0.09090909090909091,0.9687209697711527,0.015452594741429173,0.2837528211512428,0.5356658241875033
stack_greedy,16,0.023255813953488372,0.960956048081258,0.017272333389425267,0.3761555136794818,0.516863605204561
stack_greedy,21,0.03571428571428571,0.9711236501973411,0.019980773372309888,0.31618283733832536,0.6148836377330891
stack_greedy,28,0.11764705882352941,0.9787961986305018,0.016126335374832573,0.18269389283498177,0.4112717745645087
beam_full,2,0.1,0.9279277960157393,0.01947239299854209,0.22305082150395455,0.36363630303034344
beam_full,13,0.18181818181818182,0.9451059517524815,0.022929081255423676,0.1663745629930632,0.30424082746227665
beam_full,16,0.046511627906976744,0.9465384536708722,0.022230413633809884,0.2369824157575804,0.3586353634287361
beam_full,21,0.09523809523809523,0.9516220222197297,0.02220645996345219,0.1683607310798977,0.299955623821344
beam_full,28,0.1568627450980392,0.9703684765754903,0.014487777206544433,0.04184118654649111,0.09090909090909091
